Frame,Target_ID,Similarity
1,car,-1
2,car,1
3,car,1
4,car,1
5,car,0.8251
6,car,0.8918
7,car,1
8,car,0.9419
9,car,0.9312
10,car,0.8573
11,car,0.9494
12,car,0.9253
13,car,1
14,car,0.8921
15,car,0.939
16,car,0.9044
17,car,0.8419
18,car,0.8543
19,car,0.9978
20,car,0.9303
21,car,0.9004
22,car,0.9353
23,car,0.9554
24,car,0.938
25,car,1
26,car,0.9372
27,car,0.9298
28,car,0.9221
29,car,0.934
30,car,0.9267
31,car,1
32,car,0.9513
33,car,0.9217
34,car,0.9473
35,car,0.9126
36,car,0.9528
37,car,1
38,car,0.8764
39,car,0.8933
40,car,0.9131
41,car,0.8729
42,car,0.9166
43,car,0.995
44,car,0.8752
45,car,0.8442
46,car,0.8458
47,car,0.9038
48,car,0.9518
49,car,0.9903
50,car,0.9065
51,car,0.9445
52,car,0.9163
53,car,0.9148
54,car,0.8945
55,car,0.982
56,car,0.7619
57,car,0.8502
58,car,0.9686
59,car,0.9752
60,car,0.8752
61,car,0.9841
62,car,0.8497
63,car,0.8488
64,car,0.8082
65,car,0.879
66,car,0.8766
67,car,0.9825
68,car,0.8959
69,car,0.8722
70,car,0.8215
71,car,0.941
72,car,0.861
73,car,0.9977
74,car,0.909
75,car,0.9394
76,car,0.9294
77,car,0.8938
78,car,0.9191
79,car,0.9912
80,car,0.9347
81,car,0.9309
82,car,0.9316
83,car,0.9188
84,car,0.8739
85,car,1
86,car,0.8941
87,car,0.9448
88,car,0.9087
89,car,0.9551
90,car,0.898
91,car,0.9968
92,car,0.9387
93,car,0.9173
94,car,0.9064
95,car,0.8675
96,car,0.9223
97,car,1
98,car,0.9359
99,car,0.9279
100,car,0.9341
101,car,0.9086
102,car,0.8524
103,car,1
104,car,0.842
105,car,0.8899
106,car,0.8467
107,car,0.9219
108,car,0.8858
109,car,1
110,car,0.9122
111,car,0.9035
112,car,0.9151
113,car,0.9117
114,car,0.9166
115,car,0.995
116,car,0.8752
117,car,0.8442
118,car,0.898
119,car,0.9968
120,car,0.9387
121,car,0.9173
122,car,0.9064
123,car,0.8675
124,car,0.8945
125,car,0.982
126,car,0.8819
127,car,0.8602
128,car,0.9786
129,car,1
130,car,0.8764
131,car,0.8533
132,car,0.9231
133,car,1
134,car,0.91
135,car,0.9036
136,car,0.9151
137,car,0.8766
138,car,0.9825
139,car,0.8959
140,car,0.9394
141,car,0.9274
142,car,0.8998
143,car,0.9291
144,car,0.9912
145,car,0.9347
146,car,0.9968
147,car,0.9487
148,car,0.9073
149,car,1
150,car,0.9022
