Frame,Target_ID,Similarity
1,fire,-1
2,fire,0.7833
3,fire,0.9294
4,fire,0.9157
5,fire,0.916
6,fire,0.8504
7,fire,0.8879
8,fire,0.9472
9,fire,0.8794
10,fire,0.9968
11,fire,0.8543
12,fire,0.7112
13,fire,0.9205
14,fire,0.8436
15,fire,0.9293
16,fire,0.9941
17,fire,0.9035
18,fire,0.8815
19,fire,0.7824
20,fire,0.908
21,fire,0.8905
22,fire,0.9986
23,fire,0.938
24,fire,0.7255
25,fire,0.7734
26,fire,0.8482
27,fire,0.8488
28,fire,1
29,fire,0.8859
30,fire,0.8163
31,fire,0.9594
32,fire,0.9101
33,fire,0.9321
34,fire,0.9938
35,fire,0.9025
36,fire,0.7204
37,fire,0.8321
38,fire,0.8442
39,fire,0.8178
40,fire,0.983
41,fire,0.802
42,fire,0.824
43,fire,0.7084
44,fire,0.903
45,fire,0.6274
46,fire,0.9981
47,fire,0.8973
48,fire,0.8613
49,fire,0.8787
50,fire,0.7845
51,fire,0.9089
52,fire,0.9947
53,fire,0.907
54,fire,0.8652
55,fire,0.8345
56,fire,0.7478
57,fire,0.717
58,fire,0.9959
59,fire,0.8432
60,fire,0.7363
61,fire,0.9376
62,fire,0.966
63,fire,0.9076
64,fire,0.9872
65,fire,0.8832
66,fire,0.9128
67,fire,0.8834
68,fire,0.9444
69,fire,0.8439
70,fire,0.9876
71,fire,0.895
72,fire,0.8343
73,fire,0.8517
74,fire,0.9285
75,fire,0.929
76,fire,0.9918
77,fire,0.8902
78,fire,0.8093
79,fire,0.7742
80,fire,0.7647
81,fire,0.9263
82,fire,1
83,fire,0.8925
84,fire,0.9543
85,fire,0.9196
86,fire,0.962
87,fire,0.8592
88,fire,1
89,fire,0.853
90,fire,0.9702
91,fire,0.9094
92,fire,0.8647
93,fire,0.8495
94,fire,0.9931
95,fire,0.7835
96,fire,0.8353
97,fire,0.8883
98,fire,0.868
99,fire,0.9588
100,fire,1
101,fire,0.8597
102,fire,0.9038
103,fire,0.984
104,fire,0.9035
105,fire,0.8786
106,fire,1
107,fire,0.8892
108,fire,0.9482
109,fire,0.7969
110,fire,0.9257
111,fire,0.7951
112,fire,1
113,fire,0.8511
114,fire,0.8815
115,fire,0.7855
116,fire,0.768
117,fire,0.7749
118,fire,1
119,fire,0.7734
120,fire,0.8574
121,fire,0.7995
122,fire,0.8619
123,fire,0.8602
124,fire,1
125,fire,0.8143
126,fire,0.8326
127,fire,0.7689
128,fire,0.8569
129,fire,0.9105
130,fire,1
131,fire,0.8373
132,fire,0.9022
133,fire,0.8986
134,fire,0.9095
135,fire,0.87
136,fire,1
137,fire,0.8974
138,fire,0.8625
139,fire,0.8718
140,fire,0.8156
141,fire,0.8993
142,fire,1
143,fire,0.9047
144,fire,0.7801
145,fire,0.8617
146,fire,0.8958
147,fire,0.8787
148,fire,1
149,fire,0.8911
150,fire,0.866
