Frame,Target_ID,Similarity
1,melt,-1
2,melt,0.701
3,melt,0.7518
4,melt,0.8411
5,melt,0.836
6,melt,0
7,melt,0.8511
8,melt,0.8835
9,melt,0.9311
10,melt,0.8639
11,melt,0.9299
12,melt,0
13,melt,0.8467
14,melt,0.9049
15,melt,0.884
16,melt,0.8699
17,melt,0.8417
18,melt,0
19,melt,0.7962
20,melt,0.8867
21,melt,0.8283
22,melt,0.8415
23,melt,0.8733
24,melt,0
25,melt,0.7355
26,melt,0.775
27,melt,0.9286
28,melt,0.7906
29,melt,0.78
30,melt,0
31,melt,0.859
32,melt,0.8552
33,melt,0.848
34,melt,0.7795
35,melt,0.8434
36,melt,0
37,melt,0.8767
38,melt,0.8792
39,melt,0.7905
40,melt,0.8275
41,melt,0.8663
42,melt,0
43,melt,0.8858
44,melt,0.9228
45,melt,0.8952
46,melt,0.8514
47,melt,0.867
48,melt,0
49,melt,0.9084
50,melt,0.9004
51,melt,0.8399
52,melt,0.7086
53,melt,0.8892
54,melt,0
55,melt,0.8144
56,melt,0.8084
57,melt,0.6628
58,melt,0.3117
59,melt,0.5509
60,melt,0
61,melt,0.5435
62,melt,0.5462
63,melt,0.4794
64,melt,0.6333
65,melt,0.5826
66,melt,0
67,melt,0.6188
68,melt,0.7167
69,melt,0.7537
70,melt,0.7957
71,melt,0.7585
72,melt,0
73,melt,0.7824
74,melt,0.7306
75,melt,0.7969
76,melt,0.8705
77,melt,0.8951
78,melt,0
79,melt,0.8704
80,melt,0.8313
81,melt,0.8268
82,melt,0.8013
83,melt,0.829
84,melt,0
85,melt,0.8557
86,melt,0.8199
87,melt,0.8411
88,melt,0.751
89,melt,0.7867
90,melt,0
91,melt,0.4055
92,melt,0.4353
93,melt,0.5208
94,melt,0.627
95,melt,0.2825
96,melt,0
97,melt,0.3888
98,melt,0.333
99,melt,0.4534
100,melt,0.7422
101,melt,0.6876
102,melt,0
103,melt,0.7665
104,melt,0.8016
105,melt,0.8299
106,melt,0.8131
107,melt,0.7548
108,melt,0
109,melt,0.8145
110,melt,0.7735
111,melt,0.8073
112,melt,0.7652
113,melt,0.8289
114,melt,0
115,melt,0.8247
116,melt,0.8967
117,melt,0.9261
118,melt,0.8765
119,melt,0.8714
120,melt,0
121,melt,0.7493
122,melt,0
123,melt,0.6129
124,melt,0.7631
125,melt,0.7547
126,melt,0
127,melt,0.7577
128,melt,0.7858
129,melt,0.4982
130,melt,0.3153
131,melt,0.4306
132,melt,0
133,melt,0.4643
134,melt,0.2629
135,melt,0.3941
136,melt,0.5709
137,melt,0.3925
138,melt,0
139,melt,0.5111
140,melt,0.6235
141,melt,0.6713
142,melt,0.5799
143,melt,0.5604
144,melt,0
145,melt,0.7503
146,melt,0.7683
147,melt,0.7886
148,melt,0.8346
149,melt,0.7855
150,melt,0
