Frame,Target_ID,Similarity
1,spot,-1
2,spot,0.9962
3,spot,0.9913
4,spot,0.9946
5,spot,0.9973
6,spot,0.9882
7,spot,0.9973
8,spot,0.9989
9,spot,0.9979
10,spot,0.9973
11,spot,0.9963
12,spot,0.9952
13,spot,0.9921
14,spot,0.9984
15,spot,0.9937
16,spot,0.9968
17,spot,0.9974
18,spot,0.9916
19,spot,1
20,spot,1
21,spot,0.9984
22,spot,0.9974
23,spot,0.9974
24,spot,0.9922
25,spot,0.9984
26,spot,1
27,spot,0.9979
28,spot,0.9974
29,spot,0.9912
30,spot,0.9887
31,spot,0.9618
32,spot,1
33,spot,0.9945
34,spot,0.9965
35,spot,0.999
36,spot,0.9985
37,spot,0.996
38,spot,0.9975
39,spot,0.9965
40,spot,0.9941
41,spot,0.9892
42,spot,0.9803
43,spot,0.9935
44,spot,0.997
45,spot,0.9915
46,spot,0.9701
47,spot,0.9864
48,spot,0.984
49,spot,0.9859
50,spot,0.9995
51,spot,0.9941
52,spot,0.964
53,spot,0.9821
54,spot,0.9845
55,spot,0.9798
56,spot,0.9976
57,spot,0.9971
58,spot,0.9967
59,spot,0.9976
60,spot,0.9905
61,spot,0.9981
62,spot,0.9976
63,spot,0.9957
64,spot,0.9971
65,spot,1
66,spot,0.9948
67,spot,0.9905
68,spot,0.9981
69,spot,0.9981
70,spot,0.9896
71,spot,0.9883
72,spot,0.9902
73,spot,0.9916
74,spot,0.9944
75,spot,0.9957
76,spot,1
77,spot,1
78,spot,0.9967
79,spot,0.9854
80,spot,1
81,spot,0.9995
82,spot,0.9995
83,spot,1
84,spot,0.992
85,spot,0.9958
86,spot,1
87,spot,1
88,spot,0.9888
89,spot,0.9986
90,spot,0.9958
91,spot,0.9376
92,spot,0.996
93,spot,1
94,spot,1
95,spot,0.9991
96,spot,0.9987
97,spot,1
98,spot,1
99,spot,1
100,spot,0.9933
101,spot,0.9973
102,spot,0.9997
103,spot,1
104,spot,0.9995
105,spot,0.9977
106,spot,1
107,spot,0.9948
108,spot,0.9905
109,spot,0.9881
110,spot,1
111,spot,0.9896
112,spot,0.9883
113,spot,1
114,spot,0.9916
115,spot,0.9944
116,spot,0.9957
117,spot,1
118,spot,1
119,spot,0.9967
120,spot,0.9854
121,spot,1
122,spot,0.9997
123,spot,0.9998
124,spot,1
125,spot,0.992
126,spot,0.9958
127,spot,1
128,spot,1
129,spot,0.9888
130,spot,0.9996
131,spot,1
132,spot,0.9776
133,spot,0.996
134,spot,1
135,spot,1
136,spot,0.9991
137,spot,1
138,spot,1
139,spot,0.9887
140,spot,1
141,spot,0.9943
142,spot,0.9973
143,spot,0.9897
144,spot,1
145,spot,0.9995
146,spot,0.9977
147,spot,1
148,spot,0.996
149,spot,1
150,spot,1
