Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,163,127,421.0,-1,0.0,0.0,1
1,1,12,123,556.0,-1,0.0,0.0,1
1,2,329,46,343.0,-1,0.0,0.0,0
1,3,182,46,270.0,-1,0.0,0.0,0
2,0,167,127,421.0,0.6582,0.0,0.0,1
2,1,15,123,580.5,0.7532,0.0,0.0,1
2,2,328,46,377.0,0.8621,0.0,0.0,0
2,3,184,47,296.0,0.811,0.0,0.0,0
3,0,172,127,431.5,0.6112,0.0,0.0,0
3,1,21,123,538.5,0.5873,0.0,0.0,0
3,2,327,46,377.0,0.9269,0.0,0.0,0
3,3,187,46,332.0,0.8042,0.0,0.0,0
4,0,174,126,444.5,0.7598,0.0,0.0,1
4,1,25,122,565.5,0.6866,0.0,0.0,1
4,2,329,46,356.5,0.9083,0.0,0.0,0
4,3,187,46,298.5,0.8107,0.0,0.0,0
5,0,178,126,422.5,0.732,0.0,0.0,1
5,1,29,123,539.0,0.6904,0.0,0.0,1
5,2,330,46,357.5,0.8717,0.0,0.0,0
5,3,189,46,330.0,0.8056,0.0,0.0,0
6,0,178,126,422.5,1.0,0.0,0.0,0
6,1,29,123,539.0,1.0,0.0,0.0,0
6,2,330,46,357.5,1.0,0.0,0.0,0
6,3,189,46,328.0,0.9951,0.0,0.0,0
7,0,182,126,443.0,0.6346,0.0,0.0,1
7,1,33,123,523.5,0.6527,0.0,0.0,1
7,2,332,46,323.5,0.8892,0.0,0.0,0
7,3,190,46,409.5,0.8215,0.0,0.0,0
8,0,186,126,447.5,0.6569,0.0,0.0,1
8,1,37,122,565.5,0.6596,0.0,0.0,1
8,2,333,46,337.0,0.8927,0.0,0.0,0
8,3,189,46,450.5,0.842,0.0,0.0,0
9,0,190,126,422.5,0.6549,0.0,0.0,1
9,1,41,122,566.0,0.7051,0.0,0.0,1
9,2,339,46,263.5,0.7438,0.0,0.0,0
9,3,192,46,489.5,0.8127,0.0,0.0,0
10,0,194,126,437.0,0.6501,0.0,0.0,1
10,1,46,122,583.0,0.6383,0.0,0.0,1
10,2,339,46,242.5,0.9297,0.0,0.0,0
10,3,195,46,561.0,0.8198,0.0,0.0,0
11,0,198,125,454.5,0.6789,0.0,0.0,1
11,1,50,122,571.5,0.673,0.0,0.0,1
11,2,340,46,234.0,0.8539,0.0,0.0,0
11,3,199,46,536.5,0.8745,0.0,0.0,0
12,0,198,125,454.5,1.0,0.0,0.0,0
12,1,50,122,571.5,1.0,0.0,0.0,0
12,2,341,46,243.0,0.9655,0.0,0.0,0
12,3,198,46,541.0,0.9689,0.0,0.0,0
13,0,201,126,456.5,0.6931,0.0,0.0,1
13,1,53,122,575.5,0.7324,0.0,0.0,1
13,2,343,46,206.0,0.8517,0.0,0.0,0
13,3,202,46,604.0,0.8227,0.0,0.0,0
14,0,205,125,435.5,0.6649,0.0,0.0,1
14,1,58,122,579.0,0.6362,0.0,0.0,1
14,2,345,46,182.0,0.8526,0.0,0.0,0
14,3,204,46,613.0,0.8877,0.0,0.0,0
15,0,210,126,492.0,0.6187,0.0,0.0,0
15,1,63,123,562.0,0.6799,0.0,0.0,1
