Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,312,220,260.0,-1,0.0,0.0,1
1,1,295,196,67.0,-1,0.0,0.0,1
1,2,170,116,1298.0,-1,0.0,0.0,0
2,0,312,220,260.0,1.0,0.0,0.0,0
2,1,295,196,67.0,1.0,0.0,0.0,0
2,2,170,116,1289.5,0.9934,0.0,0.0,0
3,0,312,220,260.0,1.0,0.0,0.0,0
3,1,295,196,67.0,1.0,0.0,0.0,0
3,2,170,116,1289.5,1.0,0.0,0.0,0
4,0,312,220,260.0,1.0,0.0,0.0,0
4,1,295,196,67.0,1.0,0.0,0.0,0
4,2,170,116,1289.5,1.0,0.0,0.0,0
5,0,312,221,238.5,0.921,0.0,0.0,0
5,1,294,196,62.5,0.8161,0.0,0.0,1
5,2,169,116,1255.0,0.8753,0.0,0.0,0
6,0,312,221,238.5,1.0,0.0,0.0,0
6,1,294,196,58.0,0.9342,0.0,0.0,0
6,2,168,115,1267.0,0.9011,0.0,0.0,0
7,0,312,221,238.5,1.0,0.0,0.0,0
7,1,294,196,58.0,1.0,0.0,0.0,0
7,2,168,115,1267.0,1.0,0.0,0.0,0
8,0,312,221,240.0,0.9926,0.0,0.0,0
8,1,293,196,53.0,0.8267,0.0,0.0,1
8,2,168,115,1274.5,0.9568,0.0,0.0,0
9,0,312,221,238.5,0.9926,0.0,0.0,0
9,1,294,196,57.0,0.8133,0.0,0.0,1
9,2,167,115,1297.5,0.917,0.0,0.0,0
10,0,312,220,260.0,0.921,0.0,0.0,0
10,1,294,197,62.5,0.9091,0.0,0.0,0
10,2,166,116,1391.5,0.8744,0.0,0.0,1
11,0,312,221,238.5,0.921,0.0,0.0,0
11,1,294,196,57.0,0.9091,0.0,0.0,0
11,2,165,115,1381.0,0.9602,0.0,0.0,0
12,0,312,221,238.5,1.0,0.0,0.0,0
12,1,294,196,63.0,0.8375,0.0,0.0,1
12,2,165,116,1397.0,0.942,0.0,0.0,0
13,0,312,221,238.5,1.0,0.0,0.0,0
13,1,294,196,63.0,1.0,0.0,0.0,0
13,2,165,116,1397.0,1.0,0.0,0.0,0
14,0,312,220,251.0,0.9537,0.0,0.0,0
14,1,294,196,64.5,0.9747,0.0,0.0,0
14,2,164,116,1255.5,0.8792,0.0,0.0,0
15,0,312,220,244.0,0.9441,0.0,0.0,0
15,1,295,196,63.5,0.869,0.0,0.0,1
15,2,164,117,1289.5,0.917,0.0,0.0,0
16,0,312,220,244.0,1.0,0.0,0.0,0
16,1,294,196,64.5,0.8916,0.0,0.0,0
16,2,163,117,1348.0,0.927,0.0,0.0,0
17,0,312,220,244.0,1.0,0.0,0.0,0
17,1,294,196,64.5,1.0,0.0,0.0,0
17,2,162,116,1401.5,0.9067,0.0,0.0,0
18,0,312,221,248.5,0.9507,0.0,0.0,0
18,1,294,196,65.5,0.939,0.0,0.0,0
18,2,162,116,1481.5,0.9197,0.0,0.0,0
19,0,312,221,248.5,1.0,0.0,0.0,0
19,1,294,196,65.5,1.0,0.0,0.0,0
19,2,162,116,1477.5,0.9923,0.0,0.0,0
20,0,312,221,248.5,1.0,0.0,0.0,0
20,1,294,196,45.5,0.7125,0.0,0.0,1
20,2,162,117,1448.5,0.9269,0.0,0.0,0
21,0,312,220,246.5,0.9716,0.0,0.0,0
21,1,294,196,48.0,0.95,0.0,0.0,0
21,2,161,118,1532.0,0.9087,0.0,0.0,0
22,0,312,221,244.0,0.9892,0.0,0.0,0
22,1,294,196,48.0,1.0,0.0,0.0,0
22,2,161,117,1478.5,0.9384,0.0,0.0,0
23,0,312,220,254.5,0.9614,0.0,0.0,0
23,1,294,196,65.5,0.75,0.0,0.0,1
23,2,160,117,1494.0,0.9646,0.0,0.0,0
24,0,312,220,254.0,0.9655,0.0,0.0,0
24,1,294,196,67.0,0.9756,0.0,0.0,0
24,2,160,117,1460.5,0.952,0.0,0.0,0
25,0,312,220,254.0,1.0,0.0,0.0,0
25,1,294,196,67.0,1.0,0.0,0.0,0
25,2,160,117,1460.5,1.0,0.0,0.0,0
26,0,311,220,258.5,0.9828,0.0,0.0,0
26,1,294,196,67.0,1.0,0.0,0.0,0
26,2,159,118,1507.5,0.902,0.0,0.0,0
27,0,311,220,258.5,1.0,0.0,0.0,0
27,1,295,196,54.5,0.8293,0.0,0.0,1
27,2,159,118,1485.0,0.9447,0.0,0.0,0
28,0,311,220,266.5,0.9732,0.0,0.0,0
28,1,294,195,45.5,0.8529,0.0,0.0,1
28,2,158,118,1484.0,0.9197,0.0,0.0,0
29,0,311,220,266.5,1.0,0.0,0.0,0
29,1,294,196,55.5,0.8406,0.0,0.0,1
29,2,157,119,1543.5,0.9376,0.0,0.0,0
30,0,311,220,270.5,0.9868,0.11,0.02,0
30,1,294,196,47.5,0.8696,0.1,0.04,1
30,2,157,120,1443.0,0.9038,0.65,0.02,0
31,0,311,220,270.5,1.0,0.11,0.02,0
31,1,294,196,47.5,1.0,0.1,0.05,0
31,2,157,120,1442.0,0.9993,0.65,0.02,0
32,0,311,220,270.5,1.0,0.11,0.02,0
32,1,294,195,33.0,0.7167,0.12,0.05,1
32,2,157,120,1470.0,0.9483,0.65,0.02,0
33,0,311,220,278.5,0.9711,0.11,0.02,0
33,1,295,196,49.0,0.6935,0.0,0.06,1
