Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,3,173,116,1600.5,-1,0,0,1
2,3,173,116,1600.5,1,0,0,0
3,3,173,116,1600.5,1,0,0,0
4,3,173,116,1600.5,1,0,0,0
5,3,170,115,1413,0.8251,0,0,1
6,3,170,114,1468.5,0.8918,0,0,0
7,3,170,114,1468.5,1,0,0,0
8,3,169,115,1420,0.9419,0,0,0
9,3,168,114,1464.5,0.9312,0,0,0
10,3,167,116,1597.5,0.8573,0,0,1
11,3,167,116,1595.5,0.9494,0,0,0
12,3,166,116,1595,0.9253,0,0,0
13,3,166,116,1595,1,0,0,0
14,3,166,116,1429,0.8921,0,0,0
15,3,165,117,1475,0.939,0,0,0
16,3,165,116,1537.5,0.9044,0,0,0
17,3,163,117,1512.5,0.8419,0,0,1
18,3,163,115,1715.5,0.8543,0,0,1
19,3,163,115,1711.5,0.9978,0,0,0
20,3,163,116,1630.5,0.9303,0,0,0
21,3,162,117,1789,0.9004,0,0,0
22,3,162,117,1713,0.9353,0,0,0
23,3,161,117,1692,0.9554,0,0,0
24,3,161,117,1749,0.938,0,0,0
25,3,161,117,1749,1,0,0,0
26,3,162,117,1767.5,0.9372,0,0,0
27,3,161,116,1733.5,0.9298,0,0,0
28,3,160,117,1711.5,0.9221,0,0,0
29,3,160,118,1767.5,0.934,0,0,0
30,3,160,118,1751,0.9267,0.52,0.02,0
31,3,160,118,1751,1,0.52,0.02,0
32,3,160,117,1767,0.9513,0.5,0.02,0
33,3,159,117,1698,0.9217,0.52,0.02,0
34,3,159,118,1651.5,0.9473,0.46,0.02,0
35,3,158,118,1706.5,0.9126,0.51,0.02,0
36,3,158,118,1640,0.9528,0.51,0.02,0
37,3,158,118,1640,1,0.48,0.02,0
38,3,157,118,1628,0.8764,0.51,0.02,1
39,3,156,119,1583,0.8933,0.51,0.02,0
40,3,156,118,1564.5,0.9131,0.48,0.02,0
41,3,155,118,1418.5,0.8729,0.48,0.02,1
42,3,155,118,1507.5,0.9166,0.48,0.02,0
43,3,155,118,1515.5,0.995,0.48,0.02,0
44,3,155,118,1641,0.8752,0.46,0.02,1
45,3,153,118,1566,0.8442,0.53,0.02,1
46,3,152,119,1788,0.8458,0.51,0.02,1
47,3,151,118,1687,0.9038,0.58,0.02,0
48,3,150,118,1682.5,0.9518,0.59,0.02,0
49,3,150,118,1665,0.9903,0.61,0.02,0
50,3,149,119,1629,0.9065,0.61,0.02,0
51,3,149,118,1620,0.9445,0.58,0.02,0
52,3,149,119,1710.5,0.9163,0.54,0.02,0
53,3,149,119,1647.5,0.9148,0.54,0.02,0
54,3,149,120,1634,0.8945,0.53,0.02,0
55,3,149,119,1641,0.982,0.56,0.02,0
56,3,148,116,1805.5,0.7619,0.52,0.02,1
57,3,149,118,1944.5,0.8502,0.42,0.02,1
58,3,149,118,1945,0.9686,0.44,0.02,0
59,3,149,118,1921.5,0.9752,0.44,0.02,0
60,3,147,117,1775,0.8752,0.48,0.02,1
61,3,147,117,1793,0.9841,0.49,0.02,0
62,3,147,118,1835,0.8497,0.46,0.02,1
63,3,147,119,1934,0.8488,0.46,0.02,1
64,3,146,118,1673.5,0.8082,0.45,0.02,1
65,3,145,119,1668,0.879,0.46,0.02,1
66,3,145,117,1628,0.8766,0.43,0.02,1
