Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,312,220,262.5,-1,0.0,0.0,1
1,1,297,194,165.0,-1,0.0,0.0,1
1,2,175,152,21.5,-1,0.0,0.0,0
1,3,173,116,1600.5,-1,0.0,0.0,1
2,0,312,220,262.5,1.0,0.0,0.0,0
2,1,297,194,165.0,1.0,0.0,0.0,0
2,2,175,152,21.5,1.0,0.0,0.0,0
2,3,173,116,1600.5,1.0,0.0,0.0,0
3,0,312,220,262.5,1.0,0.0,0.0,0
3,1,297,194,165.0,1.0,0.0,0.0,0
3,2,175,152,21.5,1.0,0.0,0.0,0
3,3,173,116,1600.5,1.0,0.0,0.0,0
4,0,312,220,262.5,1.0,0.0,0.0,0
4,1,297,194,165.0,1.0,0.0,0.0,0
4,2,175,152,21.5,1.0,0.0,0.0,0
4,3,173,116,1600.5,1.0,0.0,0.0,0
5,0,312,220,262.5,1.0,0.0,0.0,0
5,1,297,194,165.0,1.0,0.0,0.0,0
5,3,170,115,1413.0,0.8251,0.0,0.0,1
6,0,312,220,262.5,1.0,0.0,0.0,0
6,1,297,194,165.0,1.0,0.0,0.0,0
6,3,170,114,1468.5,0.8918,0.0,0.0,0
7,0,312,220,262.5,1.0,0.0,0.0,0
7,1,297,194,165.0,1.0,0.0,0.0,0
7,3,170,114,1468.5,1.0,0.0,0.0,0
8,0,312,220,262.5,1.0,0.0,0.0,0
8,1,297,194,162.5,0.9692,0.0,0.0,0
8,3,169,115,1420.0,0.9419,0.0,0.0,0
9,0,312,220,262.5,1.0,0.0,0.0,0
9,1,297,194,166.5,0.9795,0.0,0.0,0
9,3,168,114,1464.5,0.9312,0.0,0.0,0
10,0,312,220,262.5,1.0,0.0,0.0,0
10,1,297,194,169.5,0.9848,0.0,0.0,0
10,3,167,116,1597.5,0.8573,0.0,0.0,1
11,0,312,220,262.5,1.0,0.0,0.0,0
11,1,297,194,166.5,0.9848,0.0,0.0,0
11,3,167,116,1595.5,0.9494,0.0,0.0,0
12,0,312,220,262.5,1.0,0.0,0.0,0
12,1,297,194,169.5,0.9848,0.0,0.0,0
12,3,166,116,1595.0,0.9253,0.0,0.0,0
13,0,312,220,262.5,1.0,0.0,0.0,0
13,1,297,194,169.5,1.0,0.0,0.0,0
13,3,166,116,1595.0,1.0,0.0,0.0,0
14,0,312,220,261.0,0.9932,0.0,0.0,0
14,1,297,194,171.0,0.99,0.0,0.0,0
14,3,166,116,1429.0,0.8921,0.0,0.0,0
15,0,312,220,257.0,0.9863,0.0,0.0,0
15,1,297,194,165.5,0.97,0.0,0.0,0
15,3,165,117,1475.0,0.939,0.0,0.0,0
