Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,123,178,7154.0,-1,0.0,0.0,1
2,1,97,232,406.5,-1,0.0,0.0,0
2,0,130,166,5301.5,0.701,0.0,0.0,1
3,0,125,170,6988.0,0.7518,0.0,0.0,1
3,1,97,232,406.5,0.0,0.0,0.0,0
4,0,125,169,6861.5,0.8411,0.0,0.0,1
4,1,97,232,406.5,0.0,0.0,0.0,0
5,0,127,167,5918.5,0.836,0.0,0.0,1
5,1,97,232,406.5,0.0,0.0,0.0,0
6,0,127,167,5918.5,0.0,0.0,0.0,0
6,1,97,232,406.5,0.0,0.0,0.0,0
7,1,83,222,27.0,0.0,0.0,0.0,0
7,0,131,163,5201.5,0.8511,0.0,0.0,1
8,0,133,160,4979.5,0.8835,0.0,0.0,0
8,1,83,222,27.0,0.0,0.0,0.0,0
9,1,72,212,73.5,0.0,0.0,0.0,0
9,0,134,158,4966.0,0.9311,0.0,0.0,0
10,1,70,211,156.5,0.4624,0.0,0.0,0
10,0,134,158,4540.0,0.8639,0.0,0.0,1
11,1,70,213,193.0,0.5517,0.0,0.0,0
11,0,133,158,4363.0,0.9299,0.0,0.0,0
12,1,70,213,193.0,0.0,0.0,0.0,0
12,0,133,158,4363.0,0.0,0.0,0.0,0
13,1,68,213,64.5,0.3587,0.0,0.0,0
13,0,137,157,3773.5,0.8467,0.0,0.0,1
14,1,69,210,73.0,0.4825,0.0,0.0,0
14,0,137,156,3679.5,0.9049,0.0,0.0,0
15,1,69,208,110.0,0.4698,0.0,0.0,0
15,0,136,157,3853.5,0.884,0.0,0.0,0
16,1,69,210,85.0,0.3073,0.0,0.0,0
16,0,138,157,3543.0,0.8699,0.0,0.0,1
17,0,138,155,3372.0,0.8417,0.58,0.04,1
17,1,69,210,85.0,0.0,0.0,0.0,0
18,0,138,155,3372.0,0.0,0.58,0.04,0
18,1,69,210,85.0,0.0,0.0,0.0,0
19,0,140,156,3436.0,0.7962,0.4,0.03,1
19,1,69,210,85.0,0.0,0.0,0.0,0
20,0,140,156,3497.0,0.8867,0.71,0.03,0
20,1,69,210,85.0,0.0,0.0,0.0,0
21,0,140,156,3182.0,0.8283,0.71,0.03,1
21,1,69,210,85.0,0.0,0.0,0.0,0
22,0,143,154,3117.5,0.8415,0.71,0.03,1
22,1,69,210,85.0,0.0,0.0,0.0,0
23,0,143,154,3219.0,0.8733,0.65,0.02,1
23,1,69,210,85.0,0.0,0.0,0.0,0
24,0,143,154,3219.0,0.0,0.65,0.02,0
24,1,69,210,85.0,0.0,0.0,0.0,0
25,0,143,151,2947.0,0.7355,0.59,0.02,1
26,0,143,153,3492.0,0.775,0.46,0.02,1
27,0,143,154,3477.5,0.9286,0.42,0.03,0
28,0,142,155,3125.0,0.7906,0.4,0.03,1
