Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,167,137,1753.5,-1,0,0,0
2,0,167,137,1758.5,0.9962,0,0,0
3,0,167,137,1773,0.9913,0,0,0
4,0,167,137,1779,0.9946,0,0,0
5,0,167,137,1779.5,0.9973,0,0,0
6,0,167,137,1798,0.9882,0,0,0
7,0,166,137,1803.5,0.9973,0,0,0
8,0,166,137,1805.5,0.9989,0,0,0
9,0,166,137,1807.5,0.9979,0,0,0
10,0,166,137,1806.5,0.9973,0,0,0
11,0,166,137,1811,0.9963,0,0,0
12,0,166,137,1816,0.9952,0,0,0
13,0,166,137,1823,0.9921,0,0,0
14,0,166,137,1820.5,0.9984,0,0,0
15,0,166,137,1821,0.9937,0,0,0
16,0,166,137,1827,0.9968,0,0,0
17,0,166,137,1829.5,0.9974,0,0,0
18,0,166,137,1827,0.9916,0,0,0
19,0,166,137,1827,1,0,0,0
20,0,166,137,1827,1,0,0,0
21,0,166,137,1830,0.9984,0,0,0
22,0,166,137,1832.5,0.9974,0,0,0
23,0,166,137,1833.5,0.9974,0,0,0
24,0,166,137,1842.5,0.9922,0,0,0
25,0,166,137,1845,0.9984,0,0,0
26,0,166,137,1845,1,0,0,0
27,0,166,137,1841.5,0.9979,0,0,0
28,0,166,137,1846.5,0.9974,0,0,0
29,0,166,137,1855.5,0.9912,0,0,0
30,0,166,137,1872.5,0.9887,1,0,0
31,0,166,136,1934,0.9618,0.71,0,0
32,0,166,136,1934,1,0.71,0,0
33,0,166,136,1936.5,0.9945,0.71,0,0
34,0,166,136,1935.5,0.9965,0.71,0,0
35,0,166,136,1937.5,0.999,0.71,0,0
36,0,166,136,1941,0.9985,1,0,0
37,0,166,136,1941,0.996,1,0,0
38,0,166,136,1946,0.9975,1,0,0
39,0,166,136,1941,0.9965,1,0,0
40,0,166,137,1945,0.9941,0,0,0
41,0,166,136,1953.5,0.9892,0.33,0,0
42,0,166,137,1918,0.9803,0,0,0
43,0,166,137,1905,0.9935,0,0,0
44,0,166,137,1911,0.997,0,0,0
45,0,167,137,1915.5,0.9915,0.2,0,0
46,0,166,137,1956,0.9701,0,0,0
47,0,166,137,1976.5,0.9864,0,0,0
48,0,166,137,1958,0.984,0,0,0
49,0,166,137,1964,0.9859,0,0,0
50,0,166,137,1965,0.9995,0,0,0
51,0,166,137,1963.5,0.9941,0,0,0
52,0,166,136,2032,0.964,0.14,0.01,0
53,0,166,136,2015.5,0.9821,0.14,0.01,0
54,0,166,136,2043,0.9845,0.14,0.01,0
55,0,166,136,2012,0.9798,0.14,0.01,0
56,0,166,136,2013.5,0.9976,0.14,0.01,0
57,0,166,136,2014,0.9971,0.14,0.01,0
58,0,166,136,2018.5,0.9967,0.14,0.01,0
59,0,166,136,2021,0.9976,0.14,0.01,0
60,0,166,136,2019.5,0.9905,0,0,0
61,0,166,136,2023,0.9981,0,0,0
62,0,166,136,2020.5,0.9976,0,0,0
63,0,166,136,2019,0.9957,0,0,0
64,0,166,136,2015.5,0.9971,0,0,0
65,0,166,136,2015.5,1,0,0,0
66,0,166,136,2026.5,0.9948,0,0,0
67,0,166,137,2026,0.9905,0.14,0.01,0
68,0,166,136,2030,0.9981,0,0.01,0
69,0,166,137,2026,0.9981,0,0.01,0
70,0,166,136,2036.5,0.9896,0,0.01,0
71,0,166,136,2049,0.9883,0.14,0.01,0
72,0,166,136,2046.5,0.9902,0.14,0.01,0
73,0,166,136,2051,0.9916,0.14,0.01,0
74,0,166,137,2039,0.9944,0.14,0.01,0
75,0,166,137,2030,0.9957,0,0,0
76,0,166,137,2030,1,0,0,0
77,0,166,137,2030,1,0,0,0
78,0,166,137,2037,0.9967,0,0,0
79,0,166,137,2026.5,0.9854,0,0,0
80,0,166,137,2026.5,1,0,0,0
81,0,166,137,2027.5,0.9995,0.2,0,0
82,0,166,137,2026.5,0.9995,0.2,0,0
83,0,166,137,2026.5,1,0.2,0,0
84,0,166,137,2043,0.992,0.2,0,0
85,0,166,137,2045.5,0.9958,0.2,0,0
86,0,166,137,2045.5,1,0.2,0,0
87,0,166,137,2045.5,1,0.2,0,0
88,0,166,136,2055,0.9888,0,0,0
89,0,166,136,2054.5,0.9986,0,0,0
90,0,166,136,2045.5,0.9958,0,0,0
91,0,165,136,2149.5,0.9376,0.14,0.01,0
92,0,165,136,2159,0.996,0.14,0.01,0
93,0,165,136,2159,1,0.14,0.01,0
94,0,165,136,2159,1,0.14,0.01,0
95,0,165,136,2161,0.9991,0.14,0.01,0
96,0,165,136,2158,0.9987,0.24,0,0
97,0,165,136,2158,1,0.2,0,0
98,0,165,136,2158,1,0.35,0,0
99,0,165,136,2158,1,0.33,0,0
100,0,165,136,2142.5,0.9933,0.33,0,0
101,0,165,136,2142.5,0.9973,0.33,0,0
102,0,165,136,2137,0.9997,0.33,0,0
103,0,165,136,2137,1,0.71,0,0
104,0,165,136,2136,0.9995,0.71,0,0
105,0,165,136,2139,0.9977,0.71,0,0
106,0,165,136,2139,1,0.71,0,0
107,0,166,136,2026.5,0.9948,0,0,0
108,0,166,137,2026,0.9905,0.14,0.01,0
109,0,166,136,2030,0.9881,0,0.01,0
110,0,166,137,2026,1,0,0.01,0
111,0,166,136,2036.5,0.9896,0,0.01,0
112,0,166,136,2049,0.9883,0.14,0.01,0
113,0,166,136,2046.5,1,0.14,0.01,0
114,0,166,136,2051,0.9916,0.14,0.01,0
115,0,166,137,2039,0.9944,0.14,0.01,0
116,0,166,137,2030,0.9957,0,0,0
117,0,166,137,2030,1,0,0,0
118,0,166,137,2030,1,0,0,0
119,0,166,137,2037,0.9967,0,0,0
120,0,166,137,2026.5,0.9854,0,0,0
121,0,166,137,2026.5,1,0,0,0
122,0,166,137,2027.5,0.9997,0.2,0,0
123,0,166,137,2026.5,0.9998,0.2,0,0
124,0,166,137,2026.5,1,0.2,0,0
125,0,166,137,2043,0.992,0.2,0,0
126,0,166,137,2045.5,0.9958,0.2,0,0
127,0,166,137,2045.5,1,0.2,0,0
128,0,166,137,2045.5,1,0.2,0,0
129,0,166,136,2055,0.9888,0,0,0
130,0,166,136,2054.5,0.9996,0,0,0
131,0,166,136,2045.5,1,0,0,0
132,0,165,136,2149.5,0.9776,0.14,0.01,0
133,0,165,136,2159,0.996,0.14,0.01,0
134,0,165,136,2159,1,0.14,0.01,0
135,0,165,136,2159,1,0.14,0.01,0
136,0,165,136,2161,0.9991,0.14,0.01,0
137,0,165,136,2158,1,0.24,0,0
138,0,165,136,2158,1,0.2,0,0
139,0,165,136,2158,0.9887,0.35,0,0
140,0,165,136,2158,1,0.33,0,0
141,0,165,136,2142.5,0.9943,0.33,0,0
142,0,165,136,2142.5,0.9973,0.33,0,0
143,0,165,136,2137,0.9897,0.33,0,0
144,0,165,136,2137,1,0.71,0,0
145,0,165,136,2136,0.9995,0.71,0,0
146,0,165,136,2139,0.9977,0.71,0,0
147,0,165,136,2139,1,0.71,0,0
148,0,165,136,2159,0.996,0.14,0.01,0
149,0,165,136,2159,1,0.14,0.01,0
150,0,165,136,2159,1,0.14,0.01,0
