Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
1,0,223,98,602.5,-1,0.0,0.0,1
2,0,222,102,503.5,0.7833,0.0,0.0,1
3,0,222,101,537.0,0.9294,0.0,0.0,0
4,0,222,100,560.5,0.9157,0.0,0.0,0
5,0,222,99,581.5,0.916,0.0,0.0,0
6,0,222,101,504.0,0.8504,0.0,0.0,1
7,0,222,101,507.5,0.8879,0.0,0.0,0
8,0,222,101,518.5,0.9472,0.0,0.0,0
9,0,222,99,582.0,0.8794,0.0,0.0,1
10,0,222,99,580.0,0.9968,0.0,0.0,0
11,0,222,97,651.0,0.8543,0.0,0.0,1
12,0,222,102,464.5,0.7112,0.0,0.0,1
13,0,222,101,495.5,0.9205,0.0,0.0,0
14,0,222,98,585.0,0.8436,0.0,0.0,1
15,0,222,97,628.5,0.9293,0.0,0.0,0
16,0,222,97,632.5,0.9941,0.0,0.0,0
17,0,222,98,572.5,0.9035,0.0,0.0,0
18,0,222,98,553.5,0.8815,0.0,0.0,0
19,0,222,100,549.5,0.7824,0.0,0.0,1
20,0,222,99,586.5,0.908,0.0,0.0,0
21,0,222,97,649.5,0.8905,0.0,0.0,0
22,0,222,97,650.5,0.9986,0.0,0.0,0
23,0,223,98,627.5,0.938,0.0,0.0,0
24,0,222,102,466.5,0.7255,0.0,0.0,1
25,0,223,101,608.5,0.7734,0.0,0.0,0
26,0,223,98,650.5,0.8482,0.0,0.0,0
27,0,223,101,556.0,0.8488,0.0,0.0,1
28,0,223,101,556.0,1.0,0.0,0.0,0
29,0,223,99,629.5,0.8859,0.0,0.0,0
30,0,222,101,510.5,0.8163,0.07,0.06,1
31,0,222,101,517.5,0.9594,0.02,0.06,0
32,0,222,100,567.5,0.9101,0.02,0.06,0
33,0,222,100,596.5,0.9321,0.0,0.06,0
34,0,222,100,598.5,0.9938,0.02,0.06,0
35,0,222,100,582.0,0.9025,0.03,0.05,0
36,0,222,103,415.0,0.7204,0.05,0.06,1
37,0,222,101,502.0,0.8321,0.0,0.06,1
38,0,222,99,596.5,0.8442,0.0,0.06,1
39,0,222,99,537.5,0.8178,0.0,0.06,1
40,0,222,99,535.5,0.983,0.05,0.06,0
41,0,222,102,479.5,0.802,0.0,0.06,1
42,0,222,99,578.0,0.824,0.05,0.06,1
43,0,223,95,824.0,0.7084,0.07,0.06,0
44,0,223,95,791.5,0.903,0.05,0.06,0
45,0,222,102,493.0,0.6274,0.1,0.07,1
46,0,222,102,492.0,0.9981,0.08,0.07,0
47,0,222,103,502.5,0.8973,0.1,0.07,0
48,0,222,101,570.5,0.8613,0.02,0.07,1
49,0,222,99,625.0,0.8787,0.0,0.07,1
50,0,222,102,490.5,0.7845,0.1,0.07,1
51,0,222,101,520.5,0.9089,0.08,0.07,0
52,0,222,101,519.5,0.9947,0.06,0.07,0
53,0,222,100,565.0,0.907,0.04,0.07,0
54,0,222,98,629.0,0.8652,0.07,0.07,1
55,0,222,97,606.5,0.8345,0.03,0.06,1
56,0,222,102,483.0,0.7478,0.03,0.07,1
57,0,223,99,681.5,0.717,0.04,0.07,1
58,0,223,99,684.5,0.9959,0.0,0.07,0
59,0,223,98,804.0,0.8432,0.07,0.07,1
60,0,222,101,589.5,0.7363,0.0,0.07,1
61,0,222,101,628.5,0.9376,0.02,0.07,0
62,0,222,101,615.5,0.966,0.02,0.07,0
63,0,222,100,577.0,0.9076,0.0,0.07,0
64,0,222,100,575.0,0.9872,0.0,0.07,0
65,0,222,102,517.0,0.8832,0.02,0.07,0
66,0,222,102,541.0,0.9128,0.02,0.07,0
67,0,222,101,602.5,0.8834,0.04,0.06,0
68,0,222,101,569.0,0.9444,0.04,0.06,0
69,0,222,99,677.0,0.8439,0.0,0.07,1
70,0,222,99,674.0,0.9876,0.07,0.06,0
71,0,222,100,624.0,0.895,0.02,0.06,0
72,0,222,102,520.0,0.8343,0.17,0.06,1
73,0,223,100,607.0,0.8517,0.11,0.06,1
74,0,223,100,596.0,0.9285,0.06,0.05,0
75,0,223,101,564.5,0.929,0.04,0.05,0
76,0,223,101,565.0,0.9918,0.06,0.05,0
77,0,223,99,601.5,0.8902,0.06,0.05,0
78,0,223,100,507.0,0.8093,0.04,0.05,1
79,0,223,102,521.0,0.7742,0.03,0.05,1
80,0,224,98,683.5,0.7647,0.1,0.05,1
81,0,223,98,660.5,0.9263,0.08,0.05,0
82,0,223,98,660.5,1.0,0.06,0.05,0
83,0,223,100,604.5,0.8925,0.06,0.05,0
84,0,223,100,590.5,0.9543,0.09,0.05,0
85,0,222,101,542.0,0.9196,0.03,0.04,0
86,0,223,101,562.0,0.962,0.06,0.04,0
87,0,222,99,643.5,0.8592,0.03,0.05,1
88,0,222,99,643.5,1.0,0.04,0.04,0
89,0,222,101,554.0,0.853,0.0,0.04,1
90,0,222,101,554.0,0.9702,0.0,0.04,0
91,0,222,99,602.5,0.9094,0.06,0.05,0
92,0,222,99,614.0,0.8647,0.03,0.04,1
93,0,222,101,539.0,0.8495,0.03,0.05,1
94,0,222,101,535.0,0.9931,0.03,0.04,0
95,0,222,98,655.0,0.7835,0.11,0.05,1
96,0,222,97,638.5,0.8353,0.11,0.05,1
97,0,222,98,595.0,0.8883,0.08,0.05,0
98,0,222,101,518.0,0.868,0.05,0.05,1
99,0,222,101,541.5,0.9588,0.05,0.05,0
100,0,222,101,541.5,1.0,0.03,0.05,0
